UNIT	ENTRIESn_hourly
R001	0.0
R001	217.0
R001	890.0
R001	2451.0
R001	4400.0
R001	3372.0
R002	0.0
R002	42.0
R002	50.0
R002	316.0
R002	633.0
R002	639.0
R003	0.0
R003	0.0
R003	0.0
R003	0.0
R003	0.0
R004	0.0
R004	0.0
R004	0.0
R004	0.0
R004	0.0
R004	0.0
R005	0.0
R005	0.0
R005	0.0
R005	1.0
R005	0.0
R006	0.0
R006	0.0
R006	2.0
R006	0.0
R006	2.0
R006	1.0
R007	0.0
R007	0.0
R007	0.0
R007	0.0
R008	0.0
R008	0.0
R008	0.0
R008	0.0
R008	0.0
R009	0.0
R009	0.0
R009	1.0
R009	0.0
R009	0.0
R010	0.0
R010	1643.0
R010	1090.0
R010	2779.0
R010	3804.0
R010	4526.0
R011	0.0
R011	1666.0
R011	597.0
R011	6723.0
R011	6994.0
R011	8024.0
R012	0.0
R012	0.0
R012	1774.0
R012	693.0
R012	4609.0
R012	8099.0
R012	10223.0
R013	0.0
R013	608.0
R013	126.0
R013	677.0
R013	1973.0
R013	3186.0
R014	0.0
R014	28.0
R014	59.0
R014	237.0
R014	618.0
R014	663.0
R015	0.0
R015	52.0
R015	124.0
R015	847.0
R015	1616.0
R015	1270.0
R016	0.0
R016	175.0
R016	375.0
R016	587.0
R016	674.0
R017	0.0
R017	491.0
R017	346.0
R017	1353.0
R017	2103.0
R017	2445.0
R018	0.0
R018	1262.0
R018	1655.0
R018	9285.0
R018	9529.0
R018	7188.0
R019	0.0
R019	203.0
R019	653.0
R019	2601.0
R019	2275.0
R019	1563.0
R020	0.0
R020	1462.0
R020	376.0
R020	1524.0
R020	3045.0
R020	5754.0
R021	0.0
R021	1968.0
R021	323.0
R021	1215.0
R021	2368.0
R021	4163.0
R022	0.0
R022	2120.0
R022	603.0
R022	3344.0
R022	9958.0
R022	15283.0
R023	0.0
R023	1388.0
R023	663.0
R023	3183.0
R023	5541.0
R023	6997.0
R024	0.0
R024	372.0
R024	451.0
R024	2596.0
R024	2620.0
R024	2550.0
R025	0.0
R025	532.0
R025	1630.0
R025	2942.0
R025	3603.0
R025	3266.0
R027	0.0
R027	315.0
R027	82.0
R027	1034.0
R027	1714.0
R027	1581.0
R028	0.0
R028	124.0
R028	526.0
R028	1640.0
R028	3502.0
R028	1513.0
R029	0.0
R029	798.0
R029	524.0
R029	2544.0
R029	5659.0
R029	5952.0
R030	0.0
R030	427.0
R030	120.0
R030	1228.0
R030	147.0
R030	75.0
R030	87.0
R030	1938.0
R030	1708.0
R031	0.0
R031	675.0
R031	329.0
R031	1691.0
R031	3640.0
R031	5050.0
R032	0.0
R032	778.0
R032	251.0
R032	1166.0
R032	1972.0
R032	2864.0
R033	0.0
R033	8203.0
R033	857.0
R033	5226.0
R033	7129.0
R033	12819.0
R034	0.0
R034	267.0
R034	46.0
R034	1175.0
R034	1608.0
R034	1227.0
